WKT,ID,Use_Cat,Cons_Frame
POINT (426528.36815788585 8449601.619733369),4922,,
POINT (424117.15251892566 8448866.896213008),16001,Residential,Masonry
POINT (424633.28384189436 8449311.140203746),1231,Residential,Masonry
POINT (424635.5163354698 8449331.295289082),1232,Outbuilding,Masonry
POINT (424607.84510835266 8449476.805357756),1235,Outbuilding,Masonry
POINT (424558.2027107603 8449475.97464561),1236,Residential,Masonry
POINT (424568.89859783166 8449698.71698177),1237,Outbuilding,Masonry
POINT (424505.63303979434 8449524.864185052),1238,Residential,Masonry
POINT (424561.3417128722 8449565.313828545),1239,Outbuilding,Masonry
POINT (426406.4392248555 8449558.581293564),345,,
POINT (426347.6511208569 8449410.640439095),1036,,
POINT (426130.6374884756 8449416.061459575),15803,,
POINT (426586.3077759274 8449730.822225388),15830,,
POINT (426703.8899700221 8449927.880615463),1760,,
POINT (426923.70401178044 8449353.040366068),11021,,
POINT (427135.2208139131 8449512.509585124),6508,,
POINT (426177.4744009944 8449459.273289736),17854,,
POINT (424491.0936213049 8449580.414487565),1240,Residential,Masonry
POINT (424476.63075353333 8449584.883116445),1241,Residential,Masonry
POINT (424489.39433224924 8449558.571860531),1242,Outbuilding,Masonry
POINT (424510.72689914773 8449675.512060743),1243,Outbuilding,Masonry
POINT (424460.54826246196 8449686.13673721),1244,Outbuilding,Masonry
POINT (424456.1681453642 8449806.281026613),1245,Outbuilding,Masonry
POINT (424436.52135091956 8449882.061857147),1246,Residential,Masonry
POINT (424395.5374301451 8449876.01965214),1247,Residential,Masonry
POINT (427017.27558634005 8449548.997951407),7064,,
POINT (426544.47141675133 8449634.598138371),19885,,
POINT (426985.80649196886 8449468.684313793),18528,,
POINT (426912.4508914549 8449322.145433016),4538,,
POINT (427245.2495263545 8449376.63706372),19225,,
POINT (426752.2566176502 8449844.334682629),3325,,
POINT (426187.51183151035 8449456.621491091),11163,,
POINT (426720.7635884494 8449673.133161599),17633,,
POINT (424405.8539261392 8449823.612740967),1248,Outbuilding,Masonry
POINT (424408.00628909474 8449802.791711722),1249,Outbuilding,Masonry
POINT (424370.3193152007 8449614.19218118),1250,Residential,Masonry
POINT (424359.91333721264 8449560.03874377),1251,Residential,Masonry
POINT (424345.2184278473 8449490.851881387),1252,Outbuilding,Masonry
POINT (424379.09518020065 8449449.97014538),1253,Residential,Masonry
POINT (424370.0660596862 8449416.184139058),1254,Residential,Masonry
POINT (424418.24389307154 8449463.134646013),1255,Residential,Masonry
POINT (424420.2832962415 8449398.924779661),1256,Outbuilding,Masonry
