ID,Use_Cat,Cons_Frame,lat,long
1303,Outbuilding,Masonry,-14.023912498758424,-171.70934463729358
1304,Residential,Masonry,-14.023376482466636,-171.7101202929159
1305,Outbuilding,Masonry,-14.0232017357339,-171.71005616615597
1306,Fale,Timber,-14.023106404380203,-171.71027844532438
1307,Outbuilding,Timber,-14.023240239018763,-171.7103034590356
1308,Outbuilding,Masonry,-14.023090636389133,-171.71015286902238
1607,Residential,Masonry,-14.018564849140938,-171.72038972050345
1294,Outbuilding,Masonry,-14.024012311912646,-171.7079050818415
1295,Residential,Masonry,-14.025150698969409,-171.70779056616288
16111,,,-14.023934476500703,-171.6794301400709
9869,,,-14.024660200002735,-171.67612414999977
8698,,,-14.020302050000385,-171.67885024999984
2184,,,-14.032337499995707,-171.6798888499894
12581,,,-14.030107150000214,-171.6829851000001
15964,,,-14.025487979004426,-171.6787311436928
6840,,,-14.023478450004543,-171.68283775000168
15072,,,-14.02398069562862,-171.67822917105397
4042,,,-14.026200893245852,-171.6828497696083
13774,,,-14.024611069742939,-171.6759835614933
7640,,,-14.026347659350657,-171.67803178089093
3256,,,-14.026281800000199,-171.67815119999932
3363,,,-14.020312050001383,-171.67893785000055
1261,Residential,Masonry,-14.025144630572346,-171.69881262303946
1278,Residential,Masonry,-14.020445609024547,-171.70453048221677
1279,Residential,Masonry,-14.018615754149929,-171.7042462088099
1280,Outbuilding,Masonry,-14.01850942006708,-171.70453536294252
1281,Outbuilding,Masonry,-14.016463154957265,-171.70428937248616
1282,Residential,Masonry,-14.015779580936607,-171.70527288364437
1283,Outbuilding,Masonry,-14.01570020653372,-171.70497324775414
1284,Outbuilding,Masonry,-14.015592758019027,-171.70517471789069
1285,Residential,Masonry,-14.021751143897035,-171.7059227384905
1286,Outbuilding,Masonry,-14.024847504687862,-171.70528780151363
1287,Outbuilding,Masonry,-14.025265322626563,-171.70604478860477
1288,Residential,Masonry,-14.02524968694499,-171.7062099564098
1289,Outbuilding,Masonry,-14.0249904182007,-171.70631770633082
1290,Residential,Masonry,-14.025193424252048,-171.70678250294395
1291,Outbuilding,Masonry,-14.025029391480206,-171.70669316432398
1292,Outbuilding,Masonry,-14.024014514708204,-171.7070319314583
12620,,,-14.030959450000633,-171.62801510000034
12777,,,-14.0309596000018,-171.6281243000002
16115,,,-14.032072764916919,-171.6293172759719
17848,,,-14.02185614999855,-171.63293349999844
17573,,,-14.029222106867344,-171.62772722063966
18235,,,-14.032165800000138,-171.6296623499995
9608,,,-14.030600444511926,-171.62831397216698
16935,,,-14.028860199999984,-171.62785565000087
11785,,,-14.030527354675435,-171.62826297632884
8442,,,-14.032035208229445,-171.62970212531846
16631,,,-14.031063373893923,-171.62814079116356
2160,,,-14.03238855000019,-171.62913205
9369,Outbuilding,Masonry,-14.03670724106122,-171.63048459000598
2136,Residential,Masonry,-14.037346609488441,-171.63007927697245
1312,Outbuilding,Masonry,-14.017403188417743,-171.70996450877428
1313,Outbuilding,Masonry,-14.01760063615695,-171.70995159876264
1309,Residential,Masonry,-14.015700281600473,-171.7104074319247
18418,Outbuilding,Masonry,-14.036982800000438,-171.62759259999996
2928,Religious,Masonry,-14.037198941492642,-171.62685771782785
19693,Residential,Masonry,-14.036908011438117,-171.62634309698709
9294,Residential,Masonry,-14.036870434660768,-171.62585941388394
8286,Outbuilding,Masonry,-14.036898251496087,-171.62621603919322
15934,Residential,Masonry,-14.036681489998209,-171.6267252102117
18123,Religious,Masonry,-14.036866649039146,-171.6272681575701
3215,Residential,Masonry,-14.036718447595435,-171.6270669735684
15685,Religious,Reinforced_Concrete,-14.037886158927233,-171.6307829510937
9483,Residential,Masonry,-14.037220001729555,-171.62572463111357
8209,Residential,Masonry,-14.037777925538398,-171.62682619855943
5725,Residential,Masonry,-14.03797731721778,-171.62797951823418
7137,Residential,Masonry,-14.03717140235921,-171.6278291923865
14117,Outbuilding,Timber,-14.036712682168773,-171.629956075033
3383,Residential,Masonry,-14.036931112852015,-171.62993487086345
1311,Residential,Masonry,-14.016427956665922,-171.71010506551193
8488,,,-14.032748749999936,-171.63247035000032
19843,,,-14.031337500000404,-171.62594785000044
7582,,,-14.033368294441205,-171.62706947784187
1725,,,-14.033710639888497,-171.62990107028034
9378,,,-14.033306050004654,-171.63067600000042
14857,,,-14.031313350001563,-171.6258678999995
11794,,,-14.033550719679786,-171.629806209245
4701,,,-14.032589150001655,-171.625863800005
19151,,,-14.032036300002554,-171.63201529999873
17687,,,-14.031609700000553,-171.6329477999999
13207,,,-14.03333618887958,-171.6305233756832
15168,,,-14.034373849997575,-171.62714615000044
12044,,,-14.033278576980344,-171.62891419067262
8008,,,-14.03268285000235,-171.62996690000023
12408,,,-14.027816424158406,-171.62455884423719
13873,,,-14.032077725273586,-171.62889960990515
3384,,,-14.032529471052339,-171.62782284678434
12984,,,-14.032709862141704,-171.6321543766317
14179,,,-14.032693610677574,-171.62777875289567
1502,,,-14.031593711018267,-171.6273244295797
15095,,,-14.031396582909615,-171.63035293313393
12397,Outbuilding,Masonry,-14.037200871494566,-171.62595862419423
16268,Religious,Masonry,-14.037332628157838,-171.62710185417302
4394,Residential,Masonry,-14.036902701101205,-171.62604549814256
17967,Outbuilding,Masonry,-14.036680548232477,-171.6263114872261
18782,Outbuilding,Masonry,-14.036613551059336,-171.6258530482511
773,Outbuilding,Masonry,-14.036648201092934,-171.6260422481897
2079,Residential,Masonry,-14.036957718024999,-171.62655238558216
14993,Residential,Masonry,-14.037295914086402,-171.62736127640977
600,Outbuilding,Masonry,-14.036795091711141,-171.62665222828687
17989,Outbuilding,Masonry,-14.036796929709999,-171.62696796646358
1293,Outbuilding,Masonry,-14.024156201915874,-171.70793462784502
3841,Residential,Masonry,-14.031451949678996,-171.68318106516145
14727,Residential,Masonry,-14.030812064146552,-171.6855775386773
3873,Outbuilding,Masonry,-14.037362562517211,-171.63019158575113
4130,Residential,Masonry,-14.037184645589248,-171.63024748228713
13825,Outbuilding,Masonry,-14.037105059235376,-171.63020563272357
6108,Residential,Masonry,-14.03758383732012,-171.62998431862027
290,Outbuilding,Masonry,-14.037305621970592,-171.62966073398624
6445,Residential,Masonry,-14.037417470314354,-171.62959752249952
518,Residential,Masonry,-14.037712844632646,-171.63027308481045
12827,Residential,Masonry,-14.037421323828761,-171.62971676994428
8111,Residential,Masonry,-14.037713871143586,-171.6301107910266
14990,Outbuilding,Masonry,-14.03668386503404,-171.62986488346465
1684,Fale,Timber,-14.035977322124173,-171.6316532621111
16978,Fale,Timber,-14.036048280606815,-171.6315982005469
8656,Residential,Masonry,-14.037017719488722,-171.62618388317438
19796,Outbuilding,Masonry,-14.036864958014059,-171.6290299324891
8376,Residential,Masonry,-14.037481420298677,-171.62622841803753
12786,Outbuilding,Masonry,-14.037610922783495,-171.62620656559605
5818,Outbuilding,Masonry,-14.036726862509122,-171.62958263860222
12548,Outbuilding,Masonry,-14.037120075254172,-171.6296533938066
2570,Residential,Masonry,-14.036741632019018,-171.62937182742945
15699,Outbuilding,Masonry,-14.03697972614612,-171.6252974676692
16757,Outbuilding,Masonry,-14.037014460583231,-171.626294267241
13192,Outbuilding,Masonry,-14.037216685923022,-171.62538076587612
11864,Outbuilding,Masonry,-14.03734365097571,-171.62531824827343
1391,Outbuilding,Masonry,-14.036786000947671,-171.62519589841108
17940,Residential,Masonry,-14.037144774573333,-171.62977398907404
1274,Residential,Masonry,-14.03687059398918,-171.62936684599623
1830,Residential,Masonry,-14.036723912960847,-171.62890725066828
19761,Outbuilding,Masonry,-14.036655500926214,-171.6286357780818
8337,Residential,Masonry,-14.036759198381054,-171.62602031076423
4094,Residential,Masonry,-14.036575125873512,-171.630776035878
6714,Residential,Masonry,-14.036716510743458,-171.6257115705302
17465,Residential,Masonry,-14.036448569311846,-171.63079336113339
9572,Residential,Masonry,-14.036566416600696,-171.63059604304155
14493,Residential,Masonry,-14.03488823392275,-171.63054404582374
51,Residential,Masonry,-14.036879213892357,-171.6295621303363
16567,Residential,Masonry,-14.037047783026646,-171.62774449002052
11472,Outbuilding,Masonry,-14.03668193698642,-171.63069023728696
18751,Outbuilding,Masonry,-14.036597602030694,-171.63089424089858
8132,Outbuilding,Masonry,-14.036979869916754,-171.62952675846344
16662,Outbuilding,Masonry,-14.0367309445155,-171.62920229908923
10644,Outbuilding,Masonry,-14.036926729511913,-171.62784728077543
18500,Outbuilding,Masonry,-14.036801339466361,-171.62622010986303
11348,,,-14.028581924633972,-171.62155647344184
13103,,,-14.03040803379841,-171.61848537184764
19614,,,-14.028490425085101,-171.62176642385617
19462,,,-14.029490149997896,-171.62231930000013
1090,,,-14.030239215259648,-171.61849927510661
14946,,,-14.028633171639122,-171.6195227636606
4536,,,-14.020747982273864,-171.61940843469515
14479,,,-14.02939931492644,-171.62221356767947
3182,,,-14.028474930311726,-171.62189823594255
2804,,,-14.02718179627811,-171.61972857247673
583,,,-14.02936192662574,-171.62084789060356
18506,,,-14.03188695971411,-171.6198483701482
2793,,,-14.0304644125258,-171.6206969733801
9008,,,-14.027080174141119,-171.61981005937088
15899,,,-14.029431700001327,-171.62080330000026
7660,,,-14.029864249997566,-171.62093794999888
10247,,,-14.028035729787176,-171.62106680401533
10306,,,-14.029375540000418,-171.62232992569668
7315,,,-14.02888517563622,-171.62354406088397
10567,,,-14.02852190000085,-171.61952545000028
16471,,,-14.027718365942398,-171.62452101845975
1344,Residential,Masonry,-14.021761465429968,-171.71216664478627
1345,Outbuilding,Masonry,-14.021276788762531,-171.71273510142956
1346,Residential,Masonry,-14.020938535013542,-171.71282717903853
1347,Residential,Masonry,-14.02054524291874,-171.7136257382547
1348,Residential,Masonry,-14.020328774420735,-171.71373635364097
1349,Outbuilding,Masonry,-14.02024849718301,-171.71357376439232
