ID,Cons_Frame,Use_Cat,area,storeys,REGION
608,Masonry,Outbuilding,59.6,1,Anoamaa East
611,Masonry,Outbuilding,28.8,1,Siumu
615,Timber,Fale,27.8,1,Aleipata Itupa i Lalo
616,Masonry,Residential,198.6,1,Aleipata Itupa i Lalo
621,Timber,Tourist Fale,17.4,1,Aleipata Itupa i Luga
625,Masonry,Outbuilding,56.4,1,Aleipata Itupa i Luga
630,Masonry,Commercial,346.9,3,Aleipata Itupa i Luga
630,Masonry,Outbuilding,48.7,1,Siumu
633,Masonry,Residential,224.8,1,Siumu
638,Masonry,Residential,88.8,1,Siumu
649,Masonry,Residential,119.6,1,Falealili
659,Masonry,Residential,106.6,1,Aleipata Itupa i Lalo
668,Masonry,Residential,169.2,1,Falealili
680,Masonry,Outbuilding,38.5,1,Safata
682,Masonry,Residential,255.5,1,Aleipata Itupa i Luga
683,Masonry,Residential,129.6,1,Falealili
684,Masonry,Residential,133.1,1,Siumu
689,Masonry,Hotel,89.8,2,Falealili
689,Masonry,Residential,63.3,1,Aleipata Itupa i Luga
690,Masonry,Outbuilding,82.3,1,Siumu
692,Masonry,Outbuilding,48.2,1,Siumu
694,Masonry,Residential,53.0,1,Falealili
698,Masonry,Outbuilding,12.4,1,Falealili
699,Masonry,Outbuilding,24.2,1,Falealili
703,Masonry,Outbuilding,68.5,1,Safata
710,Masonry,Residential,173.5,1,Siumu
719,Masonry,Residential,115.0,1,Safata
723,Timber,Hotel,50.4,2,Falealili
724,Masonry,Residential,105.2,1,Siumu
726,Masonry,Outbuilding,54.1,1,Siumu
729,Masonry,Residential,561.2,1,Siumu
731,Masonry,Outbuilding,40.5,1,Aleipata Itupa i Lalo
731,Timber,Outbuilding,40.9,1,Aleipata Itupa i Lalo
731,Timber,Tourist Fale,17.0,1,Aleipata Itupa i Luga
767,Masonry,Fale,20.4,1,Aleipata Itupa i Lalo
777,Timber,Tourist Fale,18.3,1,Aleipata Itupa i Luga
780,Masonry,Outbuilding,80.9,1,Siumu
788,Masonry,Fale,17.0,1,Aleipata Itupa i Luga
797,Masonry,Community,20.0,1,Aleipata Itupa i Luga
797,Masonry,Outbuilding,66.0,1,Vaa o Fonoti
799,Timber,Tourist Fale,19.9,1,Falealili
804,Timber,Tourist Fale,21.9,1,Aleipata Itupa i Luga
805,Masonry,Residential,115.9,1,Falealili
806,Masonry,Residential,206.6,1,Aleipata Itupa i Lalo
811,Masonry,Outbuilding,22.0,1,Vaa o Fonoti
814,Masonry,Fale,73.5,1,Falealili
815,Masonry,Outbuilding,89.9,1,Safata
829,Masonry,Residential,124.0,1,Safata
830,Masonry,Residential,180.3,1,Lepa
832,Masonry,Residential,143.0,1,Lepa
843,Timber,Outbuilding,40.8,1,Aleipata Itupa i Lalo
844,Masonry,Outbuilding,93.8,1,Falealili
848,Masonry,Outbuilding,37.6,1,Falealili
849,Masonry,Outbuilding,27.2,1,Falealili
857,Masonry,Hotel,75.9,3,Aleipata Itupa i Luga
858,Timber,Outbuilding,38.4,1,Lepa
866,Masonry,Outbuilding,95.9,1,Siumu
868,Masonry,Outbuilding,101.2,1,Falealili
875,Masonry,Residential,108.4,1,Vaa o Fonoti
875,Masonry,Residential,134.3,1,Vaa o Fonoti
892,Masonry,Outbuilding,81.3,1,Aleipata Itupa i Lalo
901,Masonry,Outbuilding,60.2,1,Aleipata Itupa i Lalo
903,Masonry,Residential,289.6,1,Siumu
907,Masonry,Residential,207.0,1,Falealili
909,Masonry,Outbuilding,41.3,1,Falealili
915,Masonry,Residential,161.1,1,Safata
915,Masonry,Residential,99.3,1,Aleipata Itupa i Luga
919,Masonry,Residential,490.8,1,Falealili
922,Masonry,Residential,159.7,1,Falealili
928,Masonry,Residential,311.2,1,Siumu
930,Timber,Outbuilding,22.8,1,Aleipata Itupa i Lalo
945,Timber,Outbuilding,38.9,1,Falealili
947,Masonry,Outbuilding,16.4,1,Vaa o Fonoti
956,Masonry,Residential,118.4,1,Siumu
957,Masonry,Residential,85.8,1,Siumu
959,Masonry,Outbuilding,17.9,1,Vaa o Fonoti
960,Masonry,Residential,188.8,1,Falealili
966,Masonry,Outbuilding,89.0,1,Falealili
975,Masonry,Outbuilding,67.1,1,Falealili
976,Masonry,Residential,365.4,1,Safata
976,Timber,Tourist Fale,17.3,1,Aleipata Itupa i Luga
983,Masonry,Outbuilding,79.8,1,Safata
993,Masonry,Residential,158.8,1,Aleipata Itupa i Luga
996,Masonry,Hotel,71.6,3,Lepa
1000,Masonry,Outbuilding,52.1,1,Safata
1006,Masonry,Residential,115.8,1,Aleipata Itupa i Lalo
1006,Timber,Tourist Fale,69.8,1,Siumu
1021,Masonry,Outbuilding,74.2,1,Safata
1022,Masonry,Residential,262.7,1,Aleipata Itupa i Lalo
1038,Masonry,Residential,117.1,1,Falealili
1041,Masonry,Residential,49.1,1,Falealili
1055,Timber,Outbuilding,36.6,1,Aleipata Itupa i Lalo
1067,Masonry,Outbuilding,74.3,1,Siumu
1067,Masonry,Residential,223.8,1,Falealili
1067,Masonry,Residential,60.6,1,Falealili
1078,Masonry,Fale,240.7,1,Safata
1080,Masonry,Community,445.9,1,Falealili
1082,Timber,Outbuilding,40.8,1,Aleipata Itupa i Lalo
1083,Timber,Outbuilding,55.4,1,Aleipata Itupa i Luga
1085,Masonry,Outbuilding,51.7,1,Vaa o Fonoti
1093,Masonry,Outbuilding,67.1,1,Siumu
1096,Masonry,Residential,67.7,1,Anoamaa East
1102,Timber,Hotel,80.2,1,
1114,Masonry,Outbuilding,28.4,1,Siumu
1117,Masonry,Hotel,186.4,2,Lotofaga
1117,Masonry,Outbuilding,32.8,1,Falealili
1130,Masonry,Outbuilding,32.1,1,Lotofaga
1130,Timber,Residential,134.0,1,Aleipata Itupa i Lalo
1133,Masonry,Residential,223.8,1,Lotofaga
1140,Masonry,Outbuilding,100.8,1,Siumu
1144,Masonry,Outbuilding,134.2,1,Safata
1155,Masonry,Outbuilding,20.2,1,Falealili
1155,Masonry,Residential,125.1,1,Siumu
1155,Masonry,Residential,144.9,1,Falealili
1164,Timber,Outbuilding,53.6,1,Aleipata Itupa i Lalo
1165,Masonry,Outbuilding,46.5,1,Siumu
1167,Masonry,Outbuilding,74.0,1,Siumu
1171,Masonry,Residential,404.0,1,Falealili
1177,Masonry,Outbuilding,31.5,1,Aleipata Itupa i Luga
1178,Masonry,Residential,121.9,1,Aleipata Itupa i Lalo
1195,Timber,Tourist Fale,17.0,1,Aleipata Itupa i Luga
1199,Timber,Hotel,57.6,3,Lepa
1205,Masonry,Residential,102.1,1,Aleipata Itupa i Lalo
1210,Masonry,Residential,159.7,1,Aleipata Itupa i Lalo
1212,Masonry,Residential,164.2,1,Safata
1212,Timber,Tourist Fale,17.3,1,Aleipata Itupa i Luga
1216,Masonry,Residential,222.9,1,Aleipata Itupa i Lalo
1235,Masonry,Residential,206.6,1,Falealili
1250,Masonry,Residential,105.7,1,Lepa
1257,Masonry,Fale,71.5,1,Aleipata Itupa i Luga
1283,Masonry,Residential,134.5,1,Siumu
1288,Timber,Community,70.1,1,Falealili
1300,Masonry,Residential,237.9,1,Aleipata Itupa i Lalo
1311,Masonry,Residential,93.0,1,Siumu
1318,Masonry,Hotel,235.4,2,Aleipata Itupa i Luga
1320,Timber,Outbuilding,70.6,1,Aleipata Itupa i Lalo
1321,Masonry,Outbuilding,144.2,1,Lotofaga
1338,Masonry,Residential,68.6,1,Falealili
1357,Masonry,Outbuilding,97.1,1,Falealili
1360,Masonry,Outbuilding,72.9,1,Safata
1367,Masonry,Residential,224.1,1,Vaa o Fonoti
1370,Masonry,Outbuilding,22.0,1,Lepa
1370,Masonry,Residential,81.9,1,Aleipata Itupa i Lalo
1374,Timber,Tourist Fale,19.9,1,Lepa
1388,Masonry,Residential,244.2,1,Siumu
1390,Masonry,Residential,131.3,1,Vaa o Fonoti
1396,Timber,Tourist Fale,17.0,1,Aleipata Itupa i Luga
1399,Masonry,Outbuilding,37.1,1,Aleipata Itupa i Lalo
1406,Masonry,Tourist Fale,18.8,1,Lepa
1422,Masonry,Residential,154.0,1,Aleipata Itupa i Luga
1425,Masonry,Residential,207.4,1,Aleipata Itupa i Lalo
1428,Masonry,Residential,309.5,1,Vaa o Fonoti
1435,Masonry,Residential,110.1,1,Aleipata Itupa i Lalo
1441,Masonry,Outbuilding,57.2,1,Safata
1446,Masonry,Residential,125.4,1,Aleipata Itupa i Luga
1452,Timber,Tourist Fale,19.9,1,Lepa
1456,Masonry,Hotel,318.1,2,Siumu
1476,Masonry,Community,206.7,1,Safata
1478,Masonry,Residential,81.4,1,Aleipata Itupa i Lalo
1490,Masonry,Residential,246.9,1,Vaa o Fonoti
1497,Masonry,Outbuilding,154.3,1,Siumu
1510,Timber,Tourist Fale,18.7,1,Aleipata Itupa i Luga
1512,Timber,Outbuilding,18.5,1,Falealili
1517,Masonry,Residential,253.2,1,Lepa
1525,Masonry,Outbuilding,32.8,1,Vaa o Fonoti
1525,Masonry,Residential,284.2,1,Aleipata Itupa i Lalo
1537,Masonry,Residential,236.5,1,Vaa o Fonoti
1551,Masonry,Outbuilding,159.6,1,Safata
1558,Timber,Tourist Fale,19.9,1,Lepa
1559,Masonry,Outbuilding,120.2,1,Safata
1564,Masonry,Residential,49.8,1,Falealili
1566,Masonry,Fale,40.0,1,Falealili
1583,Masonry,Outbuilding,8.6,1,Falealili
1584,Timber,Tourist Fale,17.0,1,Aleipata Itupa i Luga
1589,Masonry,Religious,534.2,1,Falealili
1590,Masonry,Outbuilding,99.3,1,Falealili
1590,Masonry,Residential,216.4,1,Falealili
1591,Masonry,Residential,390.6,1,Safata
1599,Masonry,Residential,93.0,1,Siumu
1600,Masonry,Outbuilding,24.5,1,Falealili
1604,Masonry,Outbuilding,35.8,1,Safata
1612,Masonry,Outbuilding,33.6,1,Aleipata Itupa i Lalo
1615,Masonry,Outbuilding,71.9,1,Siumu
1617,Timber,Outbuilding,70.8,1,Aleipata Itupa i Luga
1623,Masonry,Residential,486.4,1,Safata
1624,Masonry,Outbuilding,32.0,1,Falealili
1625,Masonry,Residential,441.4,1,Lotofaga
1633,Masonry,Outbuilding,22.1,1,Lepa
1643,Masonry,Outbuilding,50.4,1,Aleipata Itupa i Lalo
1644,Masonry,Residential,110.7,1,Aleipata Itupa i Lalo
1653,Masonry,Outbuilding,35.1,1,Siumu
1670,Masonry,Residential,141.4,1,Falealili
1681,Masonry,Residential,121.6,1,Vaa o Fonoti
1687,Masonry,Outbuilding,13.2,1,Vaa o Fonoti
1690,Masonry,Residential,94.1,1,Aleipata Itupa i Lalo
1698,Masonry,Fale,18.4,1,Falealili
1714,Masonry,Residential,152.5,1,Aleipata Itupa i Lalo
1716,Masonry,Residential,154.0,1,Falealili
1721,Masonry,Outbuilding,32.4,1,Anoamaa East
1724,Timber,Outbuilding,73.7,1,Aleipata Itupa i Lalo
1725,Masonry,Outbuilding,58.1,1,Safata
1727,Timber,Fale,31.0,1,Aleipata Itupa i Lalo
1736,Masonry,Residential,147.8,1,Siumu
1748,Masonry,Residential,172.2,1,Safata
1748,Masonry,Residential,283.7,1,Aleipata Itupa i Lalo
1757,Masonry,Outbuilding,41.5,1,Falealili
1759,Masonry,Residential,238.5,1,Falealili
1765,Timber,Outbuilding,34.0,1,Lotofaga
1766,Masonry,Fale,44.8,1,Falealili
1766,Masonry,Residential,224.7,1,Safata
1772,Masonry,Residential,131.6,1,Falealili
1795,Masonry,Fale,87.9,1,Safata
1809,Masonry,Outbuilding,46.2,1,Aleipata Itupa i Luga
1813,Masonry,Residential,318.7,1,Safata
1823,Masonry,Residential,97.0,1,Falealili
1826,Masonry,Residential,188.4,1,Safata
1863,Masonry,Residential,61.6,1,Anoamaa East
1864,Masonry,Outbuilding,30.3,1,Vaa o Fonoti
1870,Masonry,Residential,932.0,1,Falealili
1873,Timber,Hotel,74.9,2,Aleipata Itupa i Luga
1884,Timber,Outbuilding,22.1,1,Lotofaga
1885,Reinforced Concrete,Religious,956.3,1,Safata
1892,Masonry,Hotel,395.2,1,Siumu
1895,Masonry,Fale,23.5,1,Aleipata Itupa i Lalo
1898,Masonry,Residential,109.5,1,Falealili
1903,Masonry,Residential,130.5,1,Aleipata Itupa i Luga
1907,Masonry,Outbuilding,249.6,1,Siumu
1911,Timber,Outbuilding,11.3,1,Falealili
1922,Masonry,Outbuilding,31.4,1,Vaa o Fonoti
1928,Masonry,Outbuilding,52.6,1,Falealili
1929,Masonry,Education,462.3,1,Falealili
1931,Masonry,Residential,140.6,1,Siumu
1932,Masonry,Commercial,649.2,2,Aleipata Itupa i Lalo
1937,Masonry,Outbuilding,25.7,1,Lepa
1951,Masonry,Residential,145.8,1,Safata
1955,Masonry,Residential,225.6,1,Siumu
1957,Masonry,Outbuilding,43.9,1,Lotofaga
1962,Masonry,Residential,212.3,1,Safata
1964,Timber,Fale,23.2,1,Aleipata Itupa i Lalo
1971,Masonry,Residential,193.0,1,Siumu
1974,Masonry,Residential,0.9,1,Aleipata Itupa i Luga
1982,Masonry,Residential,96.0,1,Safata
1988,Masonry,Outbuilding,18.6,1,Anoamaa East
1989,Masonry,Residential,300.5,1,Aleipata Itupa i Lalo
1997,Reinforced_Concrete,Religious,522.7,1,Aleipata Itupa i Lalo
2018,Masonry,Outbuilding,47.6,1,Falealili
2022,Reinforced_Concrete,Religious,976.9,1,Falealili
2030,Masonry,Residential,165.2,1,Vaa o Fonoti
2031,Masonry,Residential,73.3,1,Aleipata Itupa i Luga
2037,Timber,Tourist Fale,171.6,1,Siumu
2046,Masonry,Residential,129.0,1,Safata
2049,Masonry,Residential,191.5,1,Safata
2050,Masonry,Outbuilding,36.8,1,Safata
2062,Timber,Tourist Fale,184.3,1,Siumu
2063,Timber,Outbuilding,22.8,1,Falealili
2071,Masonry,Hotel,58.2,2,Lotofaga
2071,Masonry,Residential,20.5,1,Falealili
2073,Masonry,Residential,171.2,1,Siumu
2085,Masonry,Outbuilding,93.4,1,Falealili
2087,Masonry,Residential,122.2,1,Safata
2089,Masonry,Residential,92.6,1,Aleipata Itupa i Lalo
2100,Timber,Hotel,50.4,2,Falealili
2102,Masonry,Outbuilding,55.2,1,Safata
2104,Masonry,Hotel,121.2,2,Lotofaga
2108,Masonry,Residential,249.7,1,Aleipata Itupa i Lalo
2109,Masonry,Outbuilding,22.1,1,Falealili
2117,Masonry,Outbuilding,35.2,1,Falealili
2118,Masonry,Outbuilding,41.4,1,Siumu
2131,Masonry,Outbuilding,78.2,1,Safata
2138,Masonry,Commercial,26.5,2,Siumu
2144,Timber,Tourist Fale,17.2,1,Aleipata Itupa i Luga
2150,Timber,Outbuilding,23.7,1,Lepa
2151,Masonry,Outbuilding,31.4,1,Aleipata Itupa i Luga
2158,Masonry,Residential,130.9,1,Aleipata Itupa i Lalo
2165,Masonry,Outbuilding,24.5,1,Anoamaa East
2171,Masonry,Residential,86.2,1,Falealili
2179,Masonry,Residential,72.0,1,Falealili
2182,Masonry,Commercial,143.1,2,Siumu
2184,Masonry,Outbuilding,60.1,1,Siumu
2214,Timber,Fale,15.9,1,Aleipata Itupa i Luga
2221,Masonry,Tourist Fale,38.7,1,Safata
2224,Masonry,Residential,143.5,1,Aleipata Itupa i Lalo
2229,Masonry,Outbuilding,98.2,1,Safata
2234,Masonry,Outbuilding,94.0,1,Safata
2245,Masonry,Residential,87.9,1,Aleipata Itupa i Lalo
2246,Timber,Outbuilding,37.9,1,Aleipata Itupa i Lalo
2253,Masonry,Residential,146.2,1,Siumu
2261,Masonry,Outbuilding,83.8,1,Siumu
2263,Masonry,Residential,118.8,1,Falealili
2267,Masonry,Outbuilding,101.2,1,Lotofaga
2268,Masonry,Outbuilding,27.1,1,Aleipata Itupa i Luga
2269,Masonry,Residential,299.8,1,Safata
2275,Masonry,Outbuilding,78.8,1,Safata
2279,Masonry,Residential,77.2,1,Lepa
