hazard,fragility
0.0,0.0
0.1,5.823351418096846E-5
0.2,0.009472685085753933
0.30000000000000004,0.07143887088601335
0.4,0.2005207926057343
0.5,0.3614192443434653
0.6000000000000001,0.5166244669308145
0.7000000000000001,0.6468365014130297
0.8,0.747639238864222
0.9,0.8220300900178592
1.0,0.875375192408209
1.1,0.9129853067731781
1.2000000000000002,0.9392520411344352
1.3,0.9575133148045438
1.4000000000000001,0.9701928380119165
1.5,0.979005028048562
1.6,0.9851444631679896
1.7000000000000002,0.9894366793583219
1.8,0.9924499847310143
1.9000000000000001,0.9945752386965888
2.0,0.9960815334056489
2.1,0.9971545684707278
2.2,0.9979229179716439
2.3000000000000003,0.9984759544763707
2.4000000000000004,0.9988760729492641
2.5,0.9991670367905795
2.6,0.9993796895155556
2.7,0.9995358759718269
2.8000000000000003,0.9996511444483577
2.9000000000000004,0.9997366164200271
3.0,0.9998002860441783
4.0,0.9999844907658806
5.0,0.9999983479687087
6.0,0.9999997759550202
7.0,0.9999999632531246
8.0,0.9999999929717459
9.0,0.9999999984737444
10.0,0.9999999996311731
