hazard,Masonry,Steel,Reinforced_Concrete,Reinforced Concrete,Timber
0.0,0.0,0.0,0.0,0.0,0.0
0.1,8.398292870487128E-12,8.398292870487128E-12,3.834788040270461E-4,3.834788040270461E-4,4.716473084563016E-18
0.2,2.8874809413052874E-7,2.8874809413052874E-7,0.004306286947644947,0.004306286947644947,5.135678427559256E-10
0.30000000000000004,3.3749724713377666E-5,3.3749724713377666E-5,0.014056147592824298,0.014056147592824298,1.6038960613217887E-6
0.4,5.459176044449056E-4,5.459176044449056E-4,0.029400988048771448,0.029400988048771448,1.419250103204974E-4
0.5,0.003385847983612479,0.003385847983612479,0.049238310812921245,0.049238310812921245,0.002308061487319687
0.6000000000000001,0.012159112063445934,0.012159112063445934,0.07237547309724865,0.07237547309724865,0.014572485272469637
0.7000000000000001,0.030972629962670774,0.030972629962670774,0.09777485790005314,0.09777485790005314,0.05144706488293846
0.8,0.06265531489100952,0.06265531489100952,0.1246029396082502,0.1246029396082502,0.12423284325699852
0.9,0.10778365144049012,0.10778365144049012,0.1522151122800598,0.1522151122800598,0.23164797773605333
1.0,0.16478012998031033,0.16478012998031033,0.18012374064656456,0.18012374064656456,0.3604924309508353
1.1,0.2306449369645639,0.2306449369645639,0.207965777956168,0.207965777956168,0.4933182854046369
1.2000000000000002,0.30181199641750145,0.30181199641750145,0.2354749032580653,0.2354749032580653,0.6156231726025666
1.3,0.3748293839088074,0.3748293839088074,0.26245903328725007,0.26245903328725007,0.7189996562771906
1.4000000000000001,0.44677268975656637,0.44677268975656637,0.2887826988824227,0.2887826988824227,0.8008171733938683
1.5,0.515420371888791,0.515420371888791,0.3143534294002271,0.3143534294002271,0.8623518570234239
1.6,0.5792632574109575,0.5792632574109575,0.3391113046057158,0.3391113046057158,0.9068229073737288
1.7000000000000002,0.6374198518372011,0.6374198518372011,0.3630209599489106,0.3630209599489106,0.9379705626362519
1.8,0.6895116775187403,0.6895116775187403,0.38606547388305096,0.38606547388305096,0.9592541090933101
1.9000000000000001,0.7355331975075696,0.7355331975075696,0.4082416930310686,0.4082416930310686,0.9735166580932807
2.0,0.7757349810182133,0.7757349810182133,0.42955665472986104,0.42955665472986104,0.9829286688052138
2.1,0.8105279146605429,0.8105279146605429,0.4500248477063904,0.4500248477063904,0.9890654393587822
2.2,0.8404097625387548,0.8404097625387548,0.46966611395541524,0.46966611395541524,0.9930294270021474
2.3000000000000003,0.8659120012909334,0.8659120012909334,0.48850404221224875,0.48850404221224875,0.9955715983763419
2.4000000000000004,0.8875634697544657,0.8875634697544657,0.5065647391903729,0.5065647391903729,0.9971931486705486
2.5,0.9058671271307367,0.9058671271307367,0.5238758917684624,0.5238758917684624,0.9982234029731142
2.6,0.9212865424485417,0.9212865424485417,0.5404660537267606,0.5404660537267606,0.9988761898678341
2.7,0.9342392981715759,0.9342392981715759,0.5563641060923414,0.5563641060923414,0.99928909103548
2.8000000000000003,0.9450950915350894,0.9450950915350894,0.5715988518920299,0.5715988518920299,0.9995500245497988
2.9000000000000004,0.9541768650437754,0.9541768650437754,0.5861987150543885,0.5861987150543885,0.9997148877883599
3.0,0.9617637557071795,0.9617637557071795,0.6001915200376824,0.6001915200376824,0.9998190905927195
4.0,0.9936260581315793,0.9936260581315793,0.7122219526096913,0.7122219526096913,0.9999978248983759
5.0,0.9988504281321394,0.9988504281321394,0.7873541503598813,0.7873541503598813,0.9999999649373431
6.0,0.9997711801569936,0.9997711801569936,0.8392142065281898,0.8392142065281898,0.9999999992389137
7.0,0.999949831472897,0.999949831472897,0.8760005560099279,0.8760005560099279,0.9999999999783812
8.0,0.9999879786748805,0.9999879786748805,0.9027322649498691,0.9027322649498691,0.9999999999992222
9.0,0.9999968795811943,0.9999968795811943,0.9225709313403139,0.9225709313403139,0.9999999999999656
10.0,0.9999991298786592,0.9999991298786592,0.9375669304281341,0.9375669304281341,0.9999999999999982
