hazard,Masonry,Steel,Reinforced_Concrete,Reinforced Concrete,Timber
0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0495380627609584E-10,2.0495380627609584E-10,7.791771603425565E-8,7.791771603425565E-8,9.480726719982993E-10
0.2,2.5625004568971375E-6,2.5625004568971375E-6,3.7174406345614255E-5,3.7174406345614255E-5,9.617323254028989E-6
0.30000000000000004,1.7803777696118558E-4,1.7803777696118558E-4,6.612298750215638E-4,6.612298750215638E-4,5.571946190621008E-4
0.4,0.0020588473737796985,0.0020588473737796985,0.003699666814040622,0.003699666814040622,0.005531115579094228
0.5,0.010042686840745716,0.010042686840745716,0.011753659218295257,0.011753659218295257,0.02369109066960405
0.6000000000000001,0.030049780443599076,0.030049780443599076,0.02696148427383339,0.02696148427383339,0.06337254146524936
0.7000000000000001,0.06627971152308154,0.06627971152308154,0.05029597225529088,0.05029597225529088,0.12679199837354044
0.8,0.11931880690033886,0.11931880690033886,0.08155161179147846,0.08155161179147846,0.20958591304778096
0.9,0.1864315375636228,0.1864315375636228,0.11967888721343184,0.11967888721343184,0.30383532200403346
1.0,0.2629926610237109,0.2629926610237109,0.16317768107339503,0.16317768107339503,0.40129367431707624
1.1,0.34395885693675055,0.34395885693675055,0.21041527918326813,0.21041527918326813,0.49532268825258263
1.2000000000000002,0.42486630118501373,0.42486630118501373,0.25983668797633414,0.25983668797633414,0.5815279495416324
1.3,0.5023004873922852,0.5023004873922852,0.31008065841952315,0.31008065841952315,0.657595877832242
1.4000000000000001,0.5739805806093231,0.5739805806093231,0.36002770237995285,0.36002770237995285,0.7228002872288343
1.5,0.6386276435625556,0.6386276435625556,0.4088049482185143,0.4088049482185143,0.7774658838326343
1.6,0.6957458688593436,0.6957458688593436,0.45576678367733736,0.45576678367733736,0.8225194060377676
1.7000000000000002,0.7453951939558455,0.7453951939558455,0.5004641404719722,0.5004641404719722,0.8591639339034104
1.8,0.787993834983455,0.787993834983455,0.542610405922227,0.542610405922227,0.8886664391409774
1.9000000000000001,0.8241639706161475,0.8241639706161475,0.5820484987338719,0.5820484987338719,0.9122330163770016
2.0,0.8546201563682096,0.8546201563682096,0.6187213869435354,0.6187213869435354,0.9309452510900506
2.1,0.8800940223173959,0.8800940223173959,0.6526469379342172,0.6526469379342172,0.9457358597165623
2.2,0.9012871178895235,0.9012871178895235,0.6838971930569343,0.6838971930569343,0.9573875973202307
2.3000000000000003,0.9188442221108237,0.9188442221108237,0.7125817411095297,0.7125817411095297,0.9665446068455841
2.4000000000000004,0.9333407443317981,0.9333407443317981,0.7388346783596084,0.7388346783596084,0.9737293453587736
2.5,0.9452793178920006,0.9452793178920006,0.7628045906417118,0.7628045906417118,0.9793610064914764
2.6,0.9550920254403339,0.9550920254403339,0.7846470136413307,0.7846470136413307,0.9837731988063643
2.7,0.9631457800729953,0.9631457800729953,0.8045188831784282,0.8045188831784282,0.9872297949055531
2.8000000000000003,0.9697492118753934,0.9697492118753934,0.8225745561077971,0.8225745561077971,0.9899385537621374
2.9000000000000004,0.9751600082809004,0.9751600082809004,0.8389630521656382,0.8389630521656382,0.9920625026465322
3.0,0.9795920749364129,0.9795920749364129,0.8538262315020919,0.8538262315020919,0.9937292597689666
4.0,0.9969933880203345,0.9969933880203345,0.9435997484762461,0.9435997484762461,0.9993494474565832
5.0,0.9995013937372691,0.9995013937372691,0.9771936101696926,0.9771936101696926,0.9999195439767228
6.0,0.9999065141853408,0.9999065141853408,0.9902697854255803,0.9902697854255803,0.9999882841607042
7.0,0.9999803856433803,0.9999803856433803,0.9956299444222304,0.9956299444222304,0.9999980323965186
8.0,0.9999954529425981,0.9999954529425981,0.9979433283115845,0.9979433283115845,0.9999996262614808
9.0,0.9999988490720925,0.9999988490720925,0.9989906012670066,0.9989906012670066,0.9999999210330418
10.0,0.99999968520932,0.99999968520932,0.9994856636406734,0.9994856636406734,0.9999999816942289
