scenario,time_sequence,timeline,description,edifice,pdc,tephra,vbp,lava
C,1,March 14th,Phreatomagmatic eruption with 3km plume,./Data/Hazard/Edifice/Scenario_C_Edifice_001.gpkg,./Data/Hazard/PDC/Scenario_C_PDC_001.gpkg,./Data/Hazard/Tephra/Scenario_C_Tephra_001.gpkg,./Data/Hazard/VBP/Scenario_C_VBP_001.gpkg,./Data/Hazard/No_Lava.gpkg
C,2,March 21st,Phreatomagmatic eruption with 2.5km plume,./Data/Hazard/Edifice/Scenario_C_Edifice_001.gpkg,./Data/Hazard/PDC/Scenario_C_PDC_001.gpkg,./Data/Hazard/Tephra/Scenario_C_Tephra_002.gpkg,./Data/Hazard/VBP/Scenario_C_VBP_002.gpkg,./Data/Hazard/No_Lava.gpkg
C,3,March 22nd,Phreatomagmatic eruption with 1.5km plume,./Data/Hazard/Edifice/Scenario_C_Edifice_001.gpkg,./Data/Hazard/PDC/Scenario_C_PDC_001.gpkg,./Data/Hazard/Tephra/Scenario_C_Tephra_003.gpkg,./Data/Hazard/VBP/Scenario_C_VBP_003.gpkg,./Data/Hazard/No_Lava.gpkg
C,4,March 25th-30th,"Phreatomagmatic, strombolian, and magmatic eruptions with 500m plume",./Data/Hazard/Edifice/Scenario_C_Edifice_001.gpkg,./Data/Hazard/PDC/Scenario_C_PDC_001.gpkg,./Data/Hazard/Tephra/Scenario_C_Tephra_004.gpkg,./Data/Hazard/VBP/Scenario_C_VBP_004.gpkg,./Data/Hazard/No_Lava.gpkg
C,5,April 3rd-14th,Lava flows,./Data/Hazard/Edifice/Scenario_C_Edifice_001.gpkg,./Data/Hazard/PDC/Scenario_C_PDC_001.gpkg,./Data/Hazard/Tephra/Scenario_C_Tephra_004.gpkg,./Data/Hazard/VBP/Scenario_C_VBP_004.gpkg,./Data/Hazard/Lava/Scenario_C_Lava_005.gpkg
